part_id,part_number,part_name,part_category,part_subcategory,manufacturer,manufacturer_part_number,supplier,supplier_part_number,part_description,unit_of_measure,unit_cost,retail_price,markup_percent,stock_quantity,reorder_point,reorder_quantity,max_stock_level,min_stock_level,stock_status,warehouse_location,bin_location,last_restock_date,next_restock_date,lead_time_days,quantity_on_order,supplier_order_number,expected_delivery_date,total_quantity_used_ytd,total_quantity_used_last_month,average_monthly_usage,usage_trend,stockout_incidents_ytd,last_stockout_date,compatible_equipment_types,critical_part,seasonal_demand,weight_lbs,dimensions_inches,hazmat,hazmat_class,shelf_life_months,temperature_controlled,warranty_months,returnable,part_condition,quality_grade,inspection_required,last_inspection_date,certification_required,certifications,eco_friendly,recycled_content_percent,energy_star_rated,country_of_origin,tariff_code,import_duty_percent,substitute_part_ids,superseded_by_part_id,obsolete,discontinuation_date,total_value_in_stock,inventory_turnover_ratio,days_in_inventory,carrying_cost_annual,storage_cost_monthly,insurance_value,shrinkage_rate_percent,damage_rate_percent,work_orders_used_count,average_install_time_minutes,skill_level_required,tools_required,installation_notes,maintenance_interval_months,failure_rate_percent,mtbf_hours,warranty_claims_ytd,return_rate_percent,customer_rating,total_ratings,supplier_rating,supplier_lead_time_reliability,price_trend_3month,price_volatility,contract_pricing,volume_discount_available,bulk_order_minimum,image_url,datasheet_url,video_tutorial_url,last_price_update,next_price_review,created_date,updated_date,created_by,updated_by,notes
11,PRT-DOOR-001,Door Closer Hydraulic Heavy Duty,Hardware,Door Control,Norton,8501,Hardware Supply,HS-NOR-8501,Hydraulic door closer commercial grade,Each,145.00,290.00,100,52,15,40,100,15,In Stock,Warehouse E,E-12-D,2024-01-14,2024-03-05,21,40,PO-2024-0152,2024-02-18,98,9,8.17,Stable,1,2023-11-28,Commercial Door,FALSE,FALSE,4.8,12x3x2,FALSE,,0,FALSE,120,TRUE,New,A,FALSE,,TRUE,ADA Compliant|ANSI A156.4,FALSE,0,FALSE,USA,8302.42.30,0,12,,FALSE,,7540.00,1.9,192,603.00,37.50,8000,0.4,0.6,28,45,Intermediate,Screwdriver|Hex Wrenches|Drill,Adjust closing speed and sweep,0,2.0,20000,0,0.5,4.7,34,4.6,0.94,Increasing,Low,TRUE,TRUE,10,https://images.parts.com/prt-door-001.jpg,https://docs.parts.com/prt-door-001.pdf,https://videos.parts.com/prt-door-001,2024-01-01,2024-04-01,2023-01-10,2024-01-14,SYSTEM,BUYER-005,Commercial grade only
12,PRT-PLB-003,Water Heater Element 4500W,Plumbing,Water Heater,Camco,02153,Plumbing Depot,PD-CAM-02153,Screw-in water heater element 240V,Each,24.50,49.00,100,78,20,80,200,20,In Stock,Warehouse C,C-19-F,2024-01-15,2024-02-28,15,80,PO-2024-0156,2024-02-12,156,14,13.0,Stable,0,,Water Heater,FALSE,FALSE,1.2,11x2x2,FALSE,,0,FALSE,12,TRUE,New,B,FALSE,,FALSE,,FALSE,0,FALSE,China,8516.80.40,8.5,13,,FALSE,,1911.00,6.5,56,153.00,10.80,2500,0.5,0.8,45,45,Intermediate,Element Wrench|Voltage Tester,Drain tank before replacement,0,3.2,8000,1,0.9,4.4,38,4.5,0.93,Stable,Low,FALSE,TRUE,20,https://images.parts.com/prt-plb-003.jpg,https://docs.parts.com/prt-plb-003.pdf,https://videos.parts.com/prt-plb-003,2024-01-01,2024-04-01,2023-01-10,2024-01-15,SYSTEM,BUYER-003,Common failure part
13,PRT-ELEC-004,GFCI Outlet 20A Tamper Resistant,Electrical,Outlets,Leviton,GFNT2-W,Electrical Wholesale,EW-LEV-GFNT2,20A GFCI receptacle with LED,Each,22.50,45.00,100,135,35,150,300,35,In Stock,Warehouse B,B-14-E,2024-01-16,2024-02-20,10,150,PO-2024-0159,2024-02-05,267,24,22.25,Stable,0,,Electrical Outlet,FALSE,FALSE,0.65,4.2x2.1x1.9,FALSE,,0,FALSE,60,TRUE,New,A,TRUE,2024-01-16,TRUE,UL Listed|NEC Compliant,FALSE,0,FALSE,USA,8536.69.40,0,14,,FALSE,,3037.50,8.8,41,243.00,15.80,3500,0.4,0.5,56,20,Intermediate,Screwdriver|Voltage Tester|Wire Strippers,Test monthly with test button,0,1.5,10000,0,0.4,4.7,67,4.6,0.96,Stable,Low,FALSE,TRUE,50,https://images.parts.com/prt-elec-004.jpg,https://docs.parts.com/prt-elec-004.pdf,https://videos.parts.com/prt-elec-004,2024-01-01,2024-04-01,2023-01-10,2024-01-16,SYSTEM,BUYER-002,Code required wet locations
14,PRT-HVAC-005,Condensate Pump 1/30 HP,HVAC,Accessories,Little Giant,VCMA-15ULS,HVAC Supply Co,HSC-LG-VCMA15,Automatic condensate removal pump,Each,89.50,179.00,100,42,12,30,80,12,In Stock,Warehouse A,A-28-J,2024-01-17,2024-03-10,22,30,PO-2024-0163,2024-02-25,89,8,7.42,Stable,1,2023-12-05,AC Unit|Furnace,FALSE,TRUE,4.5,6.5x6.5x6,FALSE,,0,FALSE,24,TRUE,New,A,FALSE,,FALSE,,FALSE,0,FALSE,USA,8413.70.20,0,15,,FALSE,,3759.00,2.4,152,301.00,19.50,4500,0.3,0.7,24,30,Intermediate,Screwdriver|Tubing Cutter,Check float switch operation,6,2.8,8000,0,0.5,4.6,28,4.5,0.94,Stable,Low,TRUE,TRUE,10,https://images.parts.com/prt-hvac-005.jpg,https://docs.parts.com/prt-hvac-005.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-17,SYSTEM,BUYER-001,Summer demand increases
15,PRT-SEC-001,Card Reader HID ProxCard II,Security,Access Control,HID,5355AGN00,Security Systems,SEC-HID-5355,125 kHz proximity card reader,Each,125.00,250.00,100,32,10,25,60,10,In Stock,Warehouse F,F-05-B,2024-01-18,2024-03-15,25,25,PO-2024-0167,2024-03-01,58,5,4.83,Stable,0,,Access Control System,FALSE,FALSE,0.75,4.5x2.8x0.6,FALSE,,0,FALSE,36,TRUE,New,A,TRUE,2024-01-18,FALSE,,FALSE,0,FALSE,Mexico,8543.70.96,2.5,16,,FALSE,,4000.00,1.9,192,320.00,20.80,5000,0.2,0.3,18,30,Advanced,Screwdriver|Network Cable Tools,Configure with access control panel,0,1.0,15000,0,0.2,4.8,23,4.7,0.96,Stable,Medium,TRUE,TRUE,5,https://images.parts.com/prt-sec-001.jpg,https://docs.parts.com/prt-sec-001.pdf,https://videos.parts.com/prt-sec-001,2024-01-01,2024-04-01,2023-01-10,2024-01-18,SYSTEM,BUYER-006,Proprietary system
16,PRT-ROOF-001,Roof Membrane TPO 10x100ft,Roofing,Membrane,GAF,EverGuard TPO,Roofing Supply,RS-GAF-TPO-60,60 mil TPO roofing membrane white,Roll,1250.00,2187.50,75,8,2,6,15,2,In Stock,Warehouse G,G-20-A,2024-01-19,2024-04-01,30,6,PO-2024-0171,2024-03-05,18,2,1.5,Stable,0,,Flat Roof,FALSE,TRUE,185.0,100x10x12,FALSE,,0,FALSE,240,FALSE,New,A,TRUE,2024-01-19,TRUE,ASTM D6878|Energy Star,TRUE,15,TRUE,USA,3921.19.00,0,17,,FALSE,,10000.00,1.4,261,800.00,52.00,12000,0.1,0.5,6,240,Advanced,Heat Welder|Seam Roller|Knife,Requires certified installer,0,0.8,25,0,0.0,5.0,4,4.8,0.95,Increasing,High,TRUE,TRUE,1,https://images.parts.com/prt-roof-001.jpg,https://docs.parts.com/prt-roof-001.pdf,https://videos.parts.com/prt-roof-001,2023-11-01,2024-02-01,2023-01-10,2024-01-19,SYSTEM,BUYER-007,Seasonal demand spring/summer
17,PRT-PAINT-001,Interior Paint Eggshell White 5gal,Painting,Paint,Sherwin Williams,A100-8001,Paint Supply,PS-SW-A100-5G,Premium interior latex paint,Gallon,145.00,290.00,100,28,8,20,50,8,In Stock,Warehouse H,H-10-D,2024-01-20,2024-03-20,28,20,PO-2024-0175,2024-02-28,67,6,5.58,Stable,0,,Interior Walls,FALSE,FALSE,50.0,13x13x15,FALSE,,24,FALSE,0,TRUE,New,A,FALSE,,TRUE,Low VOC|Greenguard Gold,TRUE,5,FALSE,USA,3209.10.00,0,18,,FALSE,,4060.00,1.6,228,325.00,21.00,3500,0.5,1.0,18,30,Basic,Brush|Roller|Tray,350-400 sqft coverage per gallon,0,0.0,0,0,0.0,4.6,23,4.5,0.93,Increasing,Medium,FALSE,TRUE,5,https://images.parts.com/prt-paint-001.jpg,https://docs.parts.com/prt-paint-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-20,SYSTEM,BUYER-008,Match existing colors
18,PRT-ELEV-001,Elevator Door Safety Edge,Elevator,Safety,Schindler,59370854,Elevator Parts Co,EPC-SCH-DSE,Infrared door edge safety device,Each,385.00,770.00,100,15,5,12,30,5,In Stock,Warehouse I,I-03-A,2024-01-21,2024-04-15,35,12,PO-2024-0179,2024-03-10,28,2,2.33,Stable,1,2023-09-15,Passenger Elevator,TRUE,FALSE,3.5,72x2x1.5,FALSE,,0,FALSE,60,TRUE,New,A,TRUE,2024-01-21,TRUE,ASME A17.1|UL Certified,FALSE,0,FALSE,Switzerland,8431.31.00,0,19,,FALSE,,5775.00,1.6,228,462.00,30.50,7500,0.2,0.3,8,90,Expert,Multimeter|Specialty Tools,OEM part - professional install only,0,0.5,20000,0,0.0,4.9,12,4.8,0.94,Stable,Low,FALSE,FALSE,1,https://images.parts.com/prt-elev-001.jpg,https://docs.parts.com/prt-elev-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-21,SYSTEM,BUYER-009,Critical safety device
19,PRT-LOCK-001,Commercial Lock Cylinder Mortise,Hardware,Locks,Schlage,L9050,Hardware Supply,HS-SCH-L9050,Mortise lock cylinder commercial,Each,68.50,137.00,100,48,15,40,100,15,In Stock,Warehouse E,E-18-F,2024-01-22,2024-03-18,24,40,PO-2024-0183,2024-02-28,92,8,7.67,Stable,0,,Commercial Door,FALSE,FALSE,0.85,2.5x1x1,FALSE,,0,FALSE,120,TRUE,New,A,FALSE,,TRUE,ANSI/BHMA A156.5,FALSE,0,FALSE,USA,8301.40.60,0,20,,FALSE,,3288.00,2.8,130,263.00,17.20,4500,0.3,0.4,24,20,Intermediate,Plug Follower|Pinning Kit,Rekey to match existing system,0,1.2,15000,0,0.3,4.7,34,4.6,0.95,Stable,Low,TRUE,TRUE,10,https://images.parts.com/prt-lock-001.jpg,https://docs.parts.com/prt-lock-001.pdf,,2024-01-01,2024-04-01,2023-01-10,2024-01-22,SYSTEM,BUYER-005,Master key compatible
20,PRT-CARP-001,Door Hardware Kit Lever Commercial,Hardware,Door Hardware,Yale,5400LN,Hardware Supply,HS-YALE-5400,Commercial grade lever lockset,Each,185.00,370.00,100,35,10,30,75,10,In Stock,Warehouse E,E-24-H,2024-01-23,2024-03-25,28,30,PO-2024-0187,2024-03-08,78,7,6.5,Stable,0,,Interior Door,FALSE,FALSE,5.5,12x5x3,FALSE,,0,FALSE,36,TRUE,New,A,FALSE,,TRUE,ADA Compliant|ANSI A156.2,FALSE,0,FALSE,USA,8302.42.30,0,,,FALSE,,6475.00,1.9,192,518.00,34.00,6000,0.3,0.5,21,45,Intermediate,Screwdriver|Drill|Hole Saw,Verify door thickness compatibility,0,1.8,20000,0,0.4,4.6,28,4.5,0.94,Stable,Low,TRUE,TRUE,5,https://images.parts.com/prt-carp-001.jpg,https://docs.parts.com/prt-carp-001.pdf,https://videos.parts.com/prt-carp-001,2024-01-01,2024-04-01,2023-01-10,2024-01-23,SYSTEM,BUYER-005,Multiple finishes available

