month,country,region,warehouse,product_category,units_in_stock,units_sold,units_received,damaged_units
2025-05-01,Germany,Europe,Frankfurt DC,Home & Garden,3734,1170,1500,36
2025-05-01,United Kingdom,Europe,London DC,Electronics,4660,1560,2000,43
2025-05-01,United Kingdom,Europe,London DC,Apparel,8634,3200,4000,94
2025-05-01,United Kingdom,Europe,London DC,Home & Garden,3436,1020,1350,26
2025-05-01,Japan,Asia Pacific,Tokyo DC,Electronics,6470,2600,3000,68
2025-05-01,Japan,Asia Pacific,Tokyo DC,Apparel,6380,2400,2900,80
2025-05-01,Japan,Asia Pacific,Tokyo DC,Home & Garden,2845,860,1140,24
2025-05-01,Australia,Asia Pacific,Sydney DC,Electronics,4100,1380,1800,40
2025-05-01,Australia,Asia Pacific,Sydney DC,Apparel,5572,1960,2500,60
2025-05-01,Australia,Asia Pacific,Sydney DC,Home & Garden,2348,710,960,18
2025-05-01,Brazil,Latin America,Sao Paulo DC,Electronics,3778,1280,1700,48
2025-05-01,Brazil,Latin America,Sao Paulo DC,Apparel,7210,2750,3500,102
2025-05-01,Brazil,Latin America,Sao Paulo DC,Home & Garden,2775,800,1100,28
2025-06-01,United States,North America,Chicago DC,Electronics,6475,2250,2800,70
2025-06-01,United States,North America,Chicago DC,Apparel,11405,4700,5400,160
2025-06-01,United States,North America,Chicago DC,Home & Garden,4265,1400,1700,45
2025-06-01,United States,North America,Dallas DC,Electronics,6065,1900,2500,58
2025-06-01,United States,North America,Dallas DC,Apparel,10552,4200,5000,132
2025-06-01,United States,North America,Dallas DC,Home & Garden,4263,1140,1500,38
2025-06-01,Canada,North America,Toronto DC,Electronics,3305,1100,1400,33
2025-06-01,Canada,North America,Toronto DC,Apparel,6825,2450,3100,80
2025-06-01,Canada,North America,Toronto DC,Home & Garden,2860,680,970,22
2025-06-01,Germany,Europe,Frankfurt DC,Electronics,5861,2000,2600,56
2025-06-01,Germany,Europe,Frankfurt DC,Apparel,10175,3900,4700,118
2025-06-01,Germany,Europe,Frankfurt DC,Home & Garden,4028,1260,1600,38
2025-06-01,United Kingdom,Europe,London DC,Electronics,5057,1700,2200,46
2025-06-01,United Kingdom,Europe,London DC,Apparel,9340,3500,4300,100
2025-06-01,United Kingdom,Europe,London DC,Home & Garden,3740,1110,1450,28
2025-06-01,Japan,Asia Pacific,Tokyo DC,Electronics,6802,2800,3200,72
2025-06-01,Japan,Asia Pacific,Tokyo DC,Apparel,6800,2600,3100,85
2025-06-01,Japan,Asia Pacific,Tokyo DC,Home & Garden,3101,940,1240,26
2025-06-01,Australia,Asia Pacific,Sydney DC,Electronics,4480,1520,2000,44
2025-06-01,Australia,Asia Pacific,Sydney DC,Apparel,6052,2150,2700,64
2025-06-01,Australia,Asia Pacific,Sydney DC,Home & Garden,2580,780,1060,20
2025-06-01,Brazil,Latin America,Sao Paulo DC,Electronics,4150,1420,1850,52
2025-06-01,Brazil,Latin America,Sao Paulo DC,Apparel,7858,3050,3800,108
2025-06-01,Brazil,Latin America,Sao Paulo DC,Home & Garden,3047,880,1200,30
